Ticker,Company Name,Industry,Market Price,Market Cap,Market Currency,EBIT/Market Cap,ROIC,D/P,Total Debt/Common Equity,Combined_rank
600470.SS,ANHUI LIUGUO CHEMICAL CO,Agricultural Inputs,5.62,2931392000.0,CNY,0.03497746109698036,0.02745865837787439,0.0,1.1847333214610083,8810.0
300871.SZ,HVSEN BIOTECHNOLOG,Biotechnology,22.14,4080800512.0,CNY,0.010275931753264802,0.017834732733853526,0.012195121951219513,0.5580429683036962,8821.0
001226.SZ,ANHUI TUOSHAN HEAV,Farm & Heavy Construction Machinery,25.39,1895787520.0,CNY,0.017060782613443962,0.03318087106439457,0.0,0.4215604135224104,8821.0
002256.SZ,SHENZHEN SUNRISE N,Chemicals,2.18,4261573120.0,CNY,-0.0006771521052770351,-0.0025856550069702096,0.0,0.05364830585070619,8824.0
603033.SS,SANWEI HOLDING GROUP CO LTD,Specialty Industrial Machinery,11.06,11414916096.0,CNY,0.02476012400993826,0.0364306864174926,0.0045207956600361665,1.4270719037395154,8825.0
000766.SZ,TONGHUA GH PHARMAC,Drug Manufacturers - Specialty & Generic,18.16,17551548416.0,CNY,0.008604706752956602,0.061639556550760526,0.0,0.7991049216616789,8826.0
002285.SZ,SHENZHEN WORLDUNI,Real Estate Services,2.34,4663221760.0,CNY,0.004751160957011825,0.007051077904886916,0.0,0.10466746090006457,8827.0
301220.SZ,KUNSHAN ASIA AROMA,Chemicals,82.47,6663576064.0,CNY,0.006583301468861266,0.022743117308435454,0.0,0.18384068843311316,8827.0
002122.SZ,HUIZHOU INTELLIGEN,Specialty Industrial Machinery,4.12,8241977344.0,CNY,-0.0034631407948213875,-0.01220832648094165,0.0,0.03419359980899848,8831.0
002642.SZ,RONGLIAN GROUP LTD,Information Technology Services,7.34,4855997440.0,CNY,0.0069427997330245746,0.024121914861252258,0.0,0.1983812185330534,8832.0
300609.SZ,WINNER TECHNOLOGY,Software - Application,25.58,3072516096.0,CNY,-0.0029190619901637736,-0.008633830637643145,0.0,0.04193893685194404,8833.0
600010.SS,INNER MONGOLIA BAOTOU STEEL UNI,Steel,1.77,80613769216.0,CNY,0.0278350183447896,0.028811785465105766,0.0011299435028248588,0.7920854833945096,8836.0
002102.SZ,HUBEI NENGTER TECH,Conglomerates,2.93,7713459712.0,CNY,0.01751351923700839,0.025628158023389226,0.0,0.35808322784678365,8845.0
