代码,上市公司,行业,市值(元),PE-TTM,PB,股息率,财报日期,复合排名,资本收益率(ROC),资本回报率排名,公司收益率,公司收益率排名,关注度
="002984",森麒麟,轮胎,=19663404408.989998,=9.62222860668457,=1.4534220585995985,=0.026264515718543737,2025-05-19,=345,=0.2673620155767097,=947,=0.12419599181760271,=168,=378
="002517",恺英网络,移动互联网服务,=34268549473.359997,=19.918701632145535,=4.730693538626322,=0.012486970501411298,2025-05-19,=346,=2.3082613609590155,=175,=0.05626370082251203,=940,=475
="603605",珀莱雅,日用化学产品,=38804529034.880005,=23.669492555890233,=6.7533716811167785,=0.012151534941350645,2025-05-19,=347,=2.711806610028707,=166,=0.05586050484464528,=949,=3385
="600971",恒源煤电,煤炭开采,=8436034334.52,=12.630368493588385,=0.6798990579479741,=0.06685633007586508,2025-05-19,=348,=0.24302488133754815,=1051,=0.1844185117158938,=65,=1783
="002152",广电运通,计算机设备,=29949597749.88,=32.792094371199724,=2.3492388998571108,=0.01658374794038728,2025-05-19,=349,=1.9208776105225662,=180,=0.05615949197791478,=943,=16948
="601882",海天精工,机床工具,=10111140000,=20.573839096558117,=3.8670154796111733,=0.01858544140423335,2025-05-19,=350,=0.8665924556920591,=271,=0.059585407006044186,=854,=316
="603285",键邦股份,其他化学制品,=3728000000,=24.841373536848597,=2.2753338666411564,=0.008583690987124463,2025-05-19,=351,=0.55016173300323,=432,=0.067945919653375,=695,=10
="002478",常宝股份,特钢,=4829286182.08,=8.334454161672216,=0.8400153198721514,=0.04106117605865154,2025-05-19,=352,=0.23371839642897424,=1097,=0.2623455410055351,=31,=320
="600874",创业环保,水务,=9218354158.95,=11.375408190402004,=0.9289297653781595,=0.02896081771720613,2025-05-19,=353,=0.40029759311805474,=605,=0.07874453314481414,=523,=282
="600338",西藏珠峰,铅锌,=9242664798.48,=24.30572406802135,=2.4206588879814706,=0.005440158259149358,2025-05-19,=354,=0.626173752745714,=375,=0.06479281058823858,=756,=4553
="002545",东方铁塔,钾肥,=9641481143.25,=16.006597462464153,=1.0541136790905807,=0.038709677419354833,2025-05-19,=355,=0.2826352017577631,=891,=0.10982787715557535,=243,=232
="300457",赢合科技,其它专用机械,=11497207374.730001,=31.954577987666777,=1.803630901347137,=0.006556610563682234,2025-05-19,=356,=0.3016811685631556,=824,=0.09829470744120522,=313,=438
="300502",新易盛,终端设备,=82207395498.96,=20.12027462278816,=8.280132864270149,=0.003879979306777031,2025-05-19,=357,=1.0686695518836358,=235,=0.05748711797437542,=903,=877
="300972",万辰集团,食品综合,=28076602818.390003,=55.91433846457258,=22.428780493582458,=0.0038464003889126033,2025-05-19,=358,=3.1288726578839023,=156,=0.05417661798206852,=986,=97
="603757",大元泵业,其它通用机械,=3970400410.5,=15.65117033758527,=2.43223311735413,=0.029045304220457036,2025-05-19,=359,=0.3731369420373066,=655,=0.08064740895399147,=488,=634
="603801",志邦家居,家具,=4736086986.05,=12.454493641435088,=1.3756265757369959,=0.05529955183919314,2025-05-19,=360,=0.27472476429348486,=922,=0.11364188840955824,=222,=1247
="603102",百合股份,食品综合,=3214080000,=23.01287104189455,=1.9622954138158228,=0.014934289127837515,2025-05-19,=361,=0.4404341600656769,=535,=0.07279881380086202,=610,=101
="601727",上海电气,综合电力设备商,=114355798735.28001,=112.913888380659,=2.135149724945233,=0,2025-05-19,=362,=-3.674203668134388,=102,=0.0520103911195875,=1044,=634
="600664",哈药股份,化学制剂,=9545152430.04,=14.35286647877779,=1.7159136275208182,=0,2025-05-19,=363,=0.2832458926710135,=889,=0.1066970026267699,=260,=531
="002605",姚记科技,文娱用品,=10775890040.64,=20.37403753058148,=3.0011973812551083,=0.0192455672541071,2025-05-19,=364,=0.597388081208648,=397,=0.06511757941178366,=752,=533
="300308",中际旭创,通信传输设备,=105255865926.72,=18.320994045920173,=5.081235794313992,=0.005247691015952981,2025-05-19,=365,=0.5464947341229148,=435,=0.06707568482413646,=715,=1217
="300880",迦南智能,计量仪表,=3972995020.7999997,=22.197898918463707,=3.6627107943523716,=0.022102161100196464,2025-05-19,=366,=0.7220927252015423,=315,=0.06069268392935454,=839,=117
="603275",众辰科技,工控自动化,=5528361983.16,=26.180572421002903,=1.9399342309137806,=0.006380244790761408,2025-05-19,=367,=0.5033695442800465,=468,=0.06812811110253078,=690,=23
="002088",鲁阳节能,耐火材料,=6070240192.38,=13.262475174546495,=2.053988515931253,=0.06746060383476256,2025-05-19,=368,=0.28630261457571443,=878,=0.102400077936901,=286,=649
="301339",通行宝,计算机设备,=9069780744,=42.734311493384446,=3.2716312854954896,=0.014625228519195612,2025-05-19,=369,=-0.1311910753037509,=14,=0.0480793666968444,=1151,=37
="601058",赛轮轮胎,轮胎,=41890397299.66,=10.298806572646933,=2.0423867002374614,=0.02982731554518203,2025-05-19,=370,=0.28204422316625355,=893,=0.10455512558731991,=275,=882
="301373",凌玮科技,其他化学制品,=3208604451.7799997,=23.458210259333054,=1.9666315818264994,=0.016903313049357674,2025-05-19,=371,=0.5243448423766032,=451,=0.06689700302009881,=718,=34
="002351",漫步者,电子系统组装,=11682865980,=26.425704737782855,=4.0360419885841194,=0.01902587519025875,2025-05-19,=372,=0.9323177243691201,=258,=0.05727269927423943,=913,=429
="300927",江天化学,其他化学原料,=5316778800,=18.58312079613891,=5.512669247010807,=0.0024436600597339125,2025-05-19,=373,=1.0286102860935071,=243,=0.056656071739730064,=928,=71
="603309",维力医疗,医疗器械,=3567132459.24,=15.641145459531364,=1.8347129160438307,=0.04105090311986864,2025-05-19,=374,=0.3797840023125269,=644,=0.07804278923225416,=529,=233
="002304",洋河股份,白酒,=102016460411.28,=23.97421462728868,=1.9725828636618814,=0.06862079149027168,2025-05-19,=375,=0.4222268071287611,=568,=0.07296988998448607,=606,=54681
="002223",鱼跃医疗,医疗器械,=36760828986.43,=20.75655742776366,=2.8046874262234254,=0.02181105238121741,2025-05-19,=376,=0.9895323881285362,=251,=0.05674259480400271,=925,=17862
="002353",杰瑞股份,冶金矿采化工设备,=34442510222.12,=12.675305475459483,=1.586055964211574,=0.02407833321821553,2025-05-19,=377,=0.27848100246094665,=906,=0.10508215243042095,=271,=996
="601200",上海环境,环保工程及服务,=10729455100.47,=17.75896907658218,=0.9444177293196676,=0.012547051442910916,2025-05-19,=378,=1.745151704410146,=187,=0.053813169073977735,=991,=354
="688566",吉贝尔,化学制剂,=5023663489.35,=23.220598907634297,=2.185943009433401,=0.030814578888131192,2025-05-19,=379,=0.6774345475666619,=341,=0.06021743680981315,=845,=114
="300009",安科生物,生物制品,=14617835794.92,=20.936431975904036,=3.5783316392344835,=0.028532725969253686,2025-05-19,=380,=0.773308335414346,=296,=0.05801576163098921,=890,=942
="002150",通润装备,金属制品,=4071859339.13,=18.493362302832693,=2.118463416482841,=0.008920606601248885,2025-05-19,=381,=0.2940623228702027,=846,=0.0949652423235299,=343,=147
="300228",富瑞特装,金属制品,=4458406387.89,=17.859472065284432,=1.9737785366412555,=0.010512483574244415,2025-05-19,=382,=0.29692794282572954,=834,=0.09304052979166356,=361,=156
="603699",纽威股份,机械基础件,=21558491191.05,=17.648885130764036,=4.685824772494143,=0.0540565090670077,2025-05-19,=383,=0.41853135690995685,=572,=0.07185888446238305,=623,=413
="000807",云铝股份,铝,=52782311704.1,=12.500482200517837,=1.800587287249515,=0.026938239156159456,2025-05-19,=384,=0.2601300063335515,=984,=0.11526869582566486,=212,=804
="601668",中国建筑,房屋建设,=236352633339.68,=5.107156243048748,=0.5047549928509785,=0.04746503496503497,2025-05-19,=385,=0.23032266516174238,=1119,=0.1638895761903578,=78,=10770
="605337",李子园,软饮料,=5182850093.04,=22.242566000318536,=2.931018535864718,=0.0380517503805175,2025-05-19,=386,=0.4390800940646222,=538,=0.06965134089605851,=659,=227
="688578",艾力斯,化学制剂,=38047500000,=24.79808342657162,=6.749365884502412,=0.00768775872264932,2025-05-19,=387,=3.775453095246287,=148,=0.05161037337377809,=1049,=143
="300595",欧普康视,医疗器械,=13478131885.439999,=24.980068008728043,=2.8962363178532846,=0.014893616986850461,2025-05-19,=388,=0.5677544574986702,=419,=0.06358449390370755,=780,=5515
="000897",津滨发展,房地产开发,=3752071582.8799996,=10.891118471274215,=1.164706389766962,=0.040948275862068964,2025-05-19,=389,=0.23301877588526496,=1102,=0.14889462750119542,=98,=212
="300154",瑞凌股份,其它通用机械,=4216827785.38,=25.75940341460854,=2.319917348207538,=0.021321961620469083,2025-05-19,=390,=0.582748159874762,=411,=0.06316838982438877,=789,=103
="600486",扬农化工,农药,=20887439646.239998,=17.292517413197263,=1.9020448478731433,=0.013239875389408101,2025-05-19,=391,=0.35073100786874256,=692,=0.07928061040642487,=511,=1595
="301332",德尔玛,小家电,=4892562500,=34.29900140740833,=1.684104561525897,=0.014052082257508208,2025-05-19,=392,=-3.076301291993008,=96,=0.04942862027223374,=1108,=19
="002315",焦点科技,互联网信息服务,=12984464118.17,=26.693232112825907,=5.345880412007279,=0.02687515270743276,2025-05-19,=393,=-0.5438109085884756,=46,=0.04772217286952779,=1162,=378
="002594",比亚迪,乘用车,=1163384799952.55,=25.944934022703965,=5.327797016875315,=0.009937745884458475,2025-05-19,=394,=1.7105880339985247,=189,=0.052859119162988626,=1020,=6224
="001367",海森药业,化学原料药,=3080616530,=25.589673506558253,=2.2600190458587375,=0.005664778407197601,2025-05-19,=395,=0.5813868149606922,=412,=0.06267662920561459,=798,=32
="000895",双汇发展,肉制品,=85438545512.58,=17.599657681279695,=4.346489785099689,=0.05717761557961805,2025-05-19,=396,=0.3498426132968328,=693,=0.0789399940263638,=518,=38478
="920029",开发科技,仪器仪表,=14874762035.699999,=22.35649034913563,=4.526369023825108,=0.013499375655090972,2025-05-19,=397,=0.7548407710467546,=300,=0.057325317763660844,=911,=6
="688187",时代电气,铁路设备,=61811994599.68,=16.41183733095306,=1.4978202461107748,=0.02275695552473374,2025-05-19,=398,=0.3009392848433519,=827,=0.0907610295870517,=387,=223
="603062",麦加芯彩,涂料油漆油墨制造,=5130000000,=22.043083615131025,=2.4301556139915186,=0.03432031656920078,2025-05-19,=399,=0.42806837742640436,=556,=0.06967119946425142,=658,=18
="002372",伟星新材,管材,=18610924079.719997,=20.388128426206993,=3.574005044968267,=0.050675656348934464,2025-05-19,=400,=0.4972753016716688,=476,=0.0658591429393508,=738,=11112
="600853",龙建股份,路桥施工,=3751917460.2000003,=9.048588133795734,=1.1687436813034784,=0.01081876194521514,2025-05-19,=401,=0.24774807235520604,=1033,=0.12030845875904495,=186,=141
="605167",利柏特,化学工程,=4261674300,=17.955717008879127,=2.2732530784472735,=0.0119072708113804,2025-05-19,=402,=0.33910425175585496,=715,=0.07954294780876868,=506,=53
="688009",中国通号,铁路设备,=54855262420,=15.891260799091368,=1.1893584949191947,=0.03281853281853282,2025-05-19,=403,=0.25487183388875984,=998,=0.11312449495102346,=225,=301
="605099",共创草坪,其他轻工制造,=9053010680,=16.578623979275854,=3.1067740281121985,=0.02839396628216504,2025-05-19,=404,=0.398040915409585,=608,=0.07238203082818732,=616,=264
="601677",明泰铝业,铝,=15173189129.4,=8.308853958950188,=0.8572188328477773,=0.01385245899332644,2025-05-19,=405,=0.21183085209389205,=1190,=0.23495381951833716,=38,=483
="601168",西部矿业,铅锌,=37722890000,=12.564438884335672,=2.104364073718072,=0.06317119393556538,2025-05-19,=406,=0.24280892093563092,=1054,=0.12153426882836138,=179,=602
="832735",德源药业,化学制剂,=4332870564,=23.05059116983303,=3.759926976895525,=0.008303249097472924,2025-05-19,=407,=0.7526428341191659,=302,=0.05643916604993605,=932,=53
="689009",九号公司,其他交运设备,=46617393289.799995,=33.18861015081833,=7.01115015006223,=0.01739829816476381,2025-05-19,=408,=-0.5041880252307114,=43,=0.046883702538025165,=1191,=273
="601766",中国中车,铁路设备,=209788696483.28,=14.536146962632467,=1.2235738726498337,=0.028727770177838577,2025-05-19,=409,=0.2447054849272279,=1046,=0.11823889413761278,=192,=1466
="688612",威迈斯,汽车零部件,=10679682692.54,=27.60842576835666,=3.1938968396492826,=0.02428064638653858,2025-05-19,=410,=0.8513539224997121,=274,=0.055043891297742106,=964,=41
="301580",爱迪特,医疗器械,=4146882870.9599996,=26.16938122899113,=2.0557959671823944,=0.01193098384728341,2025-05-19,=411,=0.4852709494001555,=490,=0.06519091674053319,=749,=21
="300866",安克创新,其他电子,=53518379250.96,=23.273955698515394,=5.717681740928647,=0.02085195115433138,2025-05-19,=412,=1.4733606805370485,=199,=0.052206489056315926,=1041,=576
="605377",华旺科技,造纸,=5121366465.599999,=12.717423584586419,=1.2650491294558814,=0.07887578739254984,2025-05-19,=413,=0.2599313934674323,=985,=0.10669466020644715,=261,=193
="300705",九典制药,化学制剂,=7820061804.4,=15.25915109942944,=3.006664029525315,=0.01965815827229193,2025-05-19,=414,=0.32944531032029656,=740,=0.07936053295696237,=508,=290
="603170",宝立食品,调味发酵品,=5504137600,=23.859372352245906,=3.8385876501929217,=0.029069767441860465,2025-05-19,=415,=0.42588504226234114,=562,=0.06823701891355477,=686,=128
="601600",中国铝业,铝,=113570284356.36,=8.285220111590846,=1.5723915641488255,=0.03278111246101245,2025-05-19,=416,=0.22716970649598722,=1131,=0.1366241684895566,=120,=983
="003000",劲仔食品,食品综合,=6492875889.6,=22.759306478111924,=4.785086919117345,=0.027574247073900205,2025-05-19,=417,=0.6815993658542429,=336,=0.05724773174553076,=915,=260
="600817",宇通重工,环保工程及服务,=6098609070.4,=24.700852530921097,=2.448983173868221,=0.033440701780647786,2025-05-19,=418,=0.40661190261372804,=597,=0.06975565926366996,=655,=123
="688128",中国电研,其它专用机械,=10035645000,=19.179406991280274,=2.9908477376132714,=0.02015316404675534,2025-05-19,=419,=0.4480978625322658,=530,=0.06674649082647838,=722,=128
="002017",东信和平,终端设备,=5850753642.72,=30.307903934952638,=3.2574308260128735,=0.01626984126984127,2025-05-19,=420,=-1.4081004752735033,=74,=0.04717244384982836,=1178,=259
="002244",滨江集团,房地产开发,=29807632466.20001,=10.415923276198988,=1.0464411250006485,=0.008559498956158665,2025-05-19,=421,=0.21343583405838734,=1183,=0.1782980173532965,=70,=523
="600563",法拉电子,被动元件,=23388750000,=21.498308614968508,=4.213113106963307,=0.01924001924001924,2025-05-19,=422,=0.629519731442013,=372,=0.0584351416393311,=881,=22820
="600988",赤峰黄金,黄金,=49467702963.340004,=24.16301574729624,=4.540402845488871,=0.005381810848935055,2025-05-19,=423,=0.4135970426259808,=582,=0.06895904670426653,=672,=622
="301058",中粮科工,其他专业工程,=5624771210.1,=23.80543483423754,=2.5794702956344215,=0.01366120218579235,2025-05-19,=424,=0.5998590736715672,=392,=0.05915640296058254,=864,=70
="603165",荣晟环保,造纸,=3192297386.88,=12.013679698004228,=1.4730591674917002,=0.04108493918487494,2025-05-19,=425,=0.23256816096445498,=1105,=0.12752775442924724,=153,=873
="600502",安徽建工,其他基础建设,=8033378829.839999,=5.969113479588426,=0.724993100715031,=0.05769230768732848,2025-05-19,=426,=0.30224871106855156,=823,=0.08610775016855512,=436,=531
="605080",浙江自然,其他纺织,=4589797956.8,=18.928805545194777,=2.153021352913766,=0.00607649599012955,2025-05-19,=427,=0.3436782957624599,=707,=0.07596310582227042,=556,=109
="002690",美亚光电,其它专用机械,=15068957245.999998,=22.945501555080238,=6.504218087823862,=0.04098360655737705,2025-05-19,=428,=0.8016232911660921,=282,=0.054344019698392414,=983,=4575
="300453",三鑫医疗,医疗器械,=4153060323.75,=18.254317558097434,=3.248062094541834,=0.03765684767583314,2025-05-19,=429,=0.3879844111808529,=626,=0.07075774969471685,=641,=300
="600422",昆药集团,中药,=11778542778.92,=19.001627450239344,=2.2034805724802564,=0.019280205655526992,2025-05-19,=430,=0.3235973617279415,=755,=0.0791304883837617,=515,=562
="300873",海晨股份,物流,=4803435056.57,=16.338582707547687,=1.5581452333568677,=0.01888072817305058,2025-05-19,=431,=0.3167163660893491,=773,=0.07988392949061622,=499,=154
="300577",开润股份,其他纺织,=4944524793.54,=12.508322264149745,=2.3089724471673794,=0.0161987572192264,2025-05-19,=432,=0.2759497687557431,=917,=0.09331504575543834,=356,=521
="600216",浙江医药,化学原料药,=13020575135,=8.91853003151916,=1.176437329359204,=0.027326440177252585,2025-05-19,=433,=0.22069214872222845,=1156,=0.13759970706171215,=118,=514
="603187",海容冷链,制冷空调设备,=4474698519.06,=13.04116733049612,=1.0576500822751087,=0.043178085110544474,2025-05-19,=434,=0.2133326246892116,=1185,=0.15339425252124797,=90,=796
="002532",天山铝业,其它通用机械,=36517300507.75,=7.617799273527146,=1.3098936193188047,=0.050522922569494075,2025-05-19,=435,=0.2164604686450702,=1173,=0.14536206965827705,=102,=560
="000598",兴蓉环境,水务,=21428241296.78,=10.466910492548275,=1.141557728752283,=0.02604456824512535,2025-05-19,=436,=0.29237449048881614,=853,=0.0875579998505775,=422,=546
="603199",九华旅游,自然景点,=4164888400.0000005,=20.55865650214847,=2.7620681302725343,=0.01807068828062716,2025-05-19,=437,=0.36983390297381286,=661,=0.07243904619175212,=614,=202
="603658",安图生物,医疗器械,=22456993382.399998,=19.697041175858814,=2.5298133601779207,=0.03206106871653954,2025-05-19,=438,=0.41788550455642204,=575,=0.06783988831003819,=700,=2860
="688553",汇宇制药,化学制剂,=5756724000,=22.724397456332337,=1.4563606002847314,=0.034083885209713026,2025-05-19,=439,=0.3495744962508047,=695,=0.07419697708879047,=584,=61
="600998",九州通,医药商业,=26069571109.78,=8.868491613317143,=0.9853267914772856,=0.03868471953578337,2025-05-19,=440,=0.20929669493609057,=1200,=0.15939903627720034,=81,=671
="600941",中国移动,通信运营,=2466402428534.75,=17.693621927147674,=1.7739869414829075,=0.040925655465204054,2025-05-19,=441,=0.29995348991445375,=830,=0.08490920327911154,=452,=866
="601966",玲珑轮胎,轮胎,=21440314305.95,=12.979459859687038,=0.9681616717045831,=0.023617747442791655,2025-05-19,=442,=0.21202191540919021,=1188,=0.1515333760121815,=95,=1021
="000429",粤高速Ａ,高速公路,=29835803418.02,=16.585592339888706,=2.6886622684071724,=0.03665031534688157,2025-05-19,=443,=0.27379862713429265,=926,=0.09321810265490435,=359,=1373
="688029",南微医学,医疗器械,=11883227915.72,=20.82222885971067,=2.974925196140807,=0.02367956535006429,2025-05-19,=444,=0.5121480256336006,=461,=0.06152926475530971,=824,=500
="601065",江盐集团,纯碱,=5444313389.13,=13.763391754144074,=1.2228843831402358,=0.025974025974025972,2025-05-19,=445,=0.24145004929607122,=1059,=0.11226966919920764,=227,=51
="000821",京山轻机,其它专用机械,=6988655009.160001,=17.73398523345106,=1.688513659219481,=0.00623885918003565,2025-05-19,=446,=0.31610192303369383,=776,=0.07926598918252951,=512,=236
="002550",千红制药,化学制剂,=7666002000,=18.56659235631805,=2.8620409833753118,=0.019563783051452375,2025-05-19,=447,=0.407255921163975,=595,=0.06796424203935875,=693,=206
="688334",西高院,综合,=5261550724.92,=21.471134953823142,=1.8519468469340132,=0.023947051891610487,2025-05-19,=448,=0.3808260371660786,=639,=0.07004169629682186,=650,=38
="000655",金岭矿业,其他采掘,=4060220368.6000004,=17.576840981846367,=1.19126776968296,=0.026392962098495686,2025-05-19,=449,=0.2478108135502877,=1032,=0.10723731985138794,=258,=174
="600987",航民股份,印染,=7360104074.33,=10.115114719363698,=1.1310796436860036,=0.04160887657391964,2025-05-19,=450,=0.208051101042704,=1210,=0.15843113940937142,=82,=4959
="300529",健帆生物,医疗器械,=17625218419.25,=24.337068229479144,=5.1641838965786215,=0.035147927830693,2025-05-19,=451,=0.5943166170674209,=398,=0.057773806736576304,=895,=6652
="000526",学大教育,移动互联网服务,=6519569331.5,=32.07280347870831,=7.641513032816148,=0,2025-05-19,=452,=-0.28203325388954154,=27,=0.04475179485383709,=1270,=241
="000554",泰山石油,石油贸易,=3067461368.84,=22.932822221685935,=2.8080971686762743,=0.016300940321510582,2025-05-19,=453,=0.4283943862501981,=555,=0.06556867009070892,=745,=143
="601000",唐山港,港口,=25244455895.640003,=13.878434754094805,=1.1936173456761914,=0.04694835680751174,2025-05-19,=454,=0.21713447545348005,=1169,=0.13397383616415176,=132,=1144
="000417",合百集团,多业态零售,=4570121412,=28.45117311684836,=0.956493089397329,=0.01877133105802048,2025-05-19,=455,=0.49046296814026447,=482,=0.061889793322476024,=819,=180
="000400",许继电气,电网自动化,=22425423541.09,=20.623939369424953,=1.9469468090475954,=0.019036801448488936,2025-05-19,=456,=0.3122542825113401,=793,=0.07935720934777572,=509,=842
="300406",九强生物,医疗器械,=7901226157.42,=15.954196120246023,=2.0742377479639855,=0.029604646081460854,2025-05-19,=457,=0.3043942257075019,=817,=0.08090779383210725,=487,=14655
="300470",中密控股,其它通用机械,=7685683546.84,=19.02757188595011,=2.765806398731362,=0.026772505821502514,2025-05-19,=458,=0.39398410672991274,=614,=0.06810455179433073,=691,=444
="300259",新天科技,仪器仪表,=4129399351.4799995,=20.229788919407923,=1.3982475661965763,=0.019268536965668527,2025-05-19,=459,=0.29026744001628996,=861,=0.08502259161622824,=450,=378
="600388",龙净环保,环保工程及服务,=14694435610.01,=17.995168713537648,=1.466500852380447,=0.024200518579818937,2025-05-19,=460,=0.3278490773095924,=743,=0.07490358489361323,=568,=861
="688093",世华科技,其他电子,=6844171990.719999,=21.02293246565561,=3.4154992204830448,=0.019827857801353113,2025-05-19,=461,=0.6361873438197782,=366,=0.056061282772132855,=945,=120
="836892",广咨国际,房屋建设,=3097297340,=31.312528336027583,=7.181081887336099,=0.029999999935427575,2025-05-19,=462,=-0.43702590023027893,=42,=0.044787775438052575,=1269,=49
="601699",潞安环能,煤炭开采,=33204642120,=18.253400233921564,=0.7030760597997999,=0.036936936936936934,2025-05-19,=463,=0.22217524450943463,=1151,=0.12498568721566607,=163,=1144
="688571",杭华股份,涂料油漆油墨制造,=3167768890,=22.42332390909295,=2.0071510467011535,=0.026525198938992044,2025-05-19,=464,=0.35804200093030364,=682,=0.071310991780239,=634,=50
="605056",咸亨国际,仪器仪表,=5987258031.6,=25.404502946084623,=3.471960675202799,=0.02467443454420836,2025-05-19,=465,=0.4584627549299873,=518,=0.0626177335032333,=799,=53
="002026",山东威达,机械基础件,=5152330598.84,=17.138526403304358,=1.3917268020386946,=0.012109484809466031,2025-05-19,=466,=0.2668279780871583,=952,=0.09263406376421164,=366,=232
="300827",上能电气,光伏设备,=10516990594.5,=23.097090756850065,=4.673739588162533,=0.004091547220980069,2025-05-19,=467,=0.6589457873076443,=352,=0.054909315166949246,=966,=312
="688389",普门科技,医疗器械,=5596023633.8,=19.17382920762423,=2.6568680819297192,=0.021592649335890658,2025-05-19,=468,=0.5098625394332998,=464,=0.059429000995900996,=858,=274
="002997",瑞鹄模具,汽车零部件,=7878854673,=21.18403430576593,=3.4803555284396253,=0.007970244420828906,2025-05-19,=469,=0.46779829080920937,=508,=0.0620610219602319,=816,=170
="603815",交建股份,路桥施工,=5031854030.55,=38.52703584960459,=2.138763389981781,=0.007995079950799507,2025-05-19,=470,=1.1748388661289781,=223,=0.04969360836740661,=1101,=108
="000997",新大陆,计算机设备,=30404574124.02,=28.36054636594393,=4.270968032378429,=0.01846354288174376,2025-05-19,=471,=-2.493297260288082,=92,=0.04573574915473129,=1233,=667
="603339",四方科技,制冷空调设备,=3700916453.0000005,=15.798392242304606,=1.4130076556257136,=0.019732441471571903,2025-05-19,=472,=0.2508444620623852,=1015,=0.09872271058378275,=311,=218
="603788",宁波高发,汽车零部件,=3680573622,=18.766511303490446,=1.7417098067402343,=0.04242424242424242,2025-05-19,=473,=0.4274441797374073,=560,=0.06440928184052162,=766,=374
="601566",九牧王,男装,=5206212579,=20.04150299915044,=1.2580369241716705,=0.033112582781456956,2025-05-19,=474,=0.3957983485210931,=613,=0.06708198542886441,=714,=449
="601107",四川成渝,高速公路,=18134295800,=11.899614885161448,=1.0769207885939505,=0.04890387858347386,2025-05-19,=475,=1.203037318547828,=220,=0.04947091416253849,=1107,=303
="603970",中农立华,农药,=3773953881.3599997,=18.824716870778254,=2.3974493509003794,=0.032051282051282055,2025-05-19,=476,=0.2797758127124294,=901,=0.08683381682131898,=428,=162
="300515",三德科技,仪器仪表,=3255036190,=21.415025957288716,=3.8967263148552274,=0.018503126074306413,2025-05-19,=477,=0.5593312299354328,=425,=0.0574812554560561,=904,=117
="002463",沪电股份,印制电路板,=58663350836,=20.693342222171765,=5.017248922987138,=0.01639344262295082,2025-05-19,=478,=0.5939080275189776,=399,=0.05662096983706196,=930,=3296
="300160",秀强股份,家电零部件,=4220286754.32,=18.353155145148133,=1.6668735928504241,=0.01831501826762817,2025-05-19,=479,=0.2519450256428089,=1009,=0.09709734272035918,=326,=188
="603519",立霸股份,家电零部件,=3616732053.62,=22.308488707318208,=2.640763670644771,=0.07293261958291435,2025-05-19,=480,=0.368124941795184,=669,=0.0690480666447821,=666,=267
="601702",华峰铝业,铝,=16855196527.999998,=13.696856173083667,=2.9064551148475215,=0.017772511848341235,2025-05-19,=481,=0.2966931575697436,=836,=0.07981116037555434,=501,=195
="300910",瑞丰新材,其他化学制品,=17386197582.5,=22.737914637528764,=4.793542708163751,=0.020040494555906153,2025-05-19,=482,=0.6735623153546005,=344,=0.0534836826891574,=997,=253
="600803",新奥股份,燃气,=60269324832.22,=13.731809723838753,=2.4396071986915757,=0.052929085303186026,2025-05-19,=483,=0.22467733853184732,=1143,=0.11639318186636408,=200,=862
="600660",福耀玻璃,汽车零部件,=148311724923.56,=18.220357439529945,=4.489940941729472,=0.031673411930318494,2025-05-19,=484,=0.4278787140434334,=559,=0.06349607226168265,=784,=14455
="600179",安通控股,物流,=13202364174.480003,=16.48896118102408,=1.198747813901636,=0,2025-05-19,=485,=0.2099892166999402,=1197,=0.12858662593381173,=147,=181
="301187",欧圣电气,小家电,=6710831541.75,=24.653649109392948,=4.5512979326071825,=0.03152413422000946,2025-05-19,=486,=8.17518933047951,=134,=0.04629067986544487,=1210,=80
="603277",银都股份,制冷空调设备,=10005072060,=17.36520874920293,=3.3447681446137643,=0.042449819197004364,2025-05-19,=487,=0.3517780265989037,=690,=0.06974862166912604,=656,=277
="003028",振邦智能,家电零部件,=4741671712.68,=24.518517310904546,=2.657301499927899,=0.021216407291752393,2025-05-19,=488,=1.6447994831573671,=194,=0.04791778235176411,=1152,=121
="002380",科远智慧,IT服务,=5762199492.490001,=21.346681155518162,=2.5175162251285195,=0.0016659725114535609,2025-05-19,=489,=0.3479706035449962,=700,=0.07002927588540316,=651,=173
="300693",盛弘股份,储能设备,=9286907984.87,=21.323620071076576,=5.2859443468864455,=0.016800138135769846,2025-05-19,=490,=0.6176304804159998,=381,=0.054633982829299425,=975,=344
="600729",重庆百货,多业态零售,=13745084402.4,=10.14550898756077,=1.7291541915709185,=0.04365897435897436,2025-05-19,=491,=0.23183315532911936,=1110,=0.10906282095462698,=248,=687
="002533",金杯电工,线缆部件及其他,=7302713566.9,=12.786233424201209,=1.769348072924112,=0.04482886053258823,2025-05-19,=492,=0.24144959962185214,=1060,=0.10041926235101296,=298,=304
="603967",中创物流,物流,=4201600525.2,=16.221594728887347,=1.8925397877759316,=0.04950495049504951,2025-05-19,=493,=0.23527595301658796,=1086,=0.10459897127310482,=274,=151
="002714",牧原股份,畜禽养殖,=214304395583.71,=8.658320096665411,=2.844908250468533,=0.03560179120223306,2025-05-19,=494,=0.23471377377942743,=1091,=0.10509284728984909,=270,=5706
="601121",宝地矿业,其他采掘,=4736000000,=40.12877166922955,=1.5426240285793407,=0.014780405405405405,2025-05-19,=495,=0.46626234105787756,=511,=0.05978567475525735,=851,=25
="600983",惠而浦,洗衣机,=7924979260,=25.77776111371721,=2.838572027592796,=0.028046421663442938,2025-05-19,=496,=0.7175611920005831,=317,=0.05187328107462952,=1045,=158
