代码,上市公司,行业,市值(元),PE-TTM,PB,股息率,财报日期,复合排名,资本收益率(ROC),资本回报率排名,公司收益率,公司收益率排名,关注度
="300904",威力传动,风电设备,=4552905292.8,=-115.78566244102514,=6.177802133994561,=0,2025-05-19,=3400,=0,=3683,=-0.005053411217202768,=3335,=14
="300655",晶瑞电材,其他化学原料,=9260572483.06,=-72.87852825905478,=3.7778681512509578,=0.005139540532409181,2025-05-19,=3401,=0,=3639,=-0.007530562153737054,=3379,=3125
="600118",中国卫星,航天装备,=31726183492.05,=1261.945664736953,=5.0204169643031875,=0.0003727171077152441,2025-05-19,=3402,=0,=3746,=-0.002213438155202273,=3273,=3468
="002151",北斗星通,航天装备,=14654465866.089998,=-43.99288325636509,=2.8872183244096274,=0,2025-05-19,=3403,=0,=3322,=-0.030632953246461068,=3699,=3472
="301349",信德新材,其他化学制品,=3579180000.0000005,=-257.2163376693319,=1.3282067576150862,=0,2025-05-19,=3404,=0,=3723,=-0.0034014778864645003,=3299,=25
="002383",合众思壮,计算机设备,=6744682378.549999,=-36.20559935601565,=4.0284534606885485,=0,2025-05-19,=3405,=0,=3372,=-0.02566006242705119,=3650,=246
="301259",艾布鲁,环保工程及服务,=6999720000,=-380.5513724943971,=8.305612696962935,=0,2025-05-19,=3406,=0,=3713,=-0.0037153016410982937,=3310,=33
="300050",世纪鼎利,通信配套服务,=3023899284.9,=-42.95082148809696,=7.625550921281963,=0,2025-05-19,=3407,=0,=3483,=-0.017411821888340534,=3546,=174
="000800",一汽解放,乘用车,=35982533296.56,=74.62352752239966,=1.36541455533727,=0.006839945280437757,2025-05-19,=3408,=0,=3276,=-0.036821757497261735,=3755,=530
="300766",每日互动,软件开发,=15404545894.960001,=-198.7687855260162,=9.9200170204562,=0,2025-05-19,=3409,=0,=3662,=-0.007114149509475178,=3373,=175
="600336",澳柯玛,冰箱,=6112793130.54,=-156.19702266441072,=2.4631869105887714,=0.0026109659952765455,2025-05-19,=3410,=0,=3772,=-0.001964687921285171,=3265,=251
="600178",东安动力,汽车零部件,=5740556185.05,=338.12793433331757,=2.249891268587061,=0.0006234618841151237,2025-05-19,=3411,=0,=3754,=-0.002717985786980099,=3283,=152
="300370",安控科技,仪器仪表,=4430014716.75,=-43.522614783932745,=8.248832579468264,=0,2025-05-19,=3412,=0,=3573,=-0.012643434832946542,=3464,=119
="300765",新诺威,化学原料药,=59133362942.4,=-1132.0304283960259,=15.957228368250293,=0.0004710006837786249,2025-05-19,=3413,=0,=3661,=-0.007369964884574068,=3377,=252
="300245",天玑科技,IT服务,=5535659326.38,=-95.74260476694684,=4.324700910055334,=0,2025-05-19,=3414,=0,=3532,=-0.014920480355366935,=3507,=148
="000710",贝瑞基因,医疗器械,=4737187631,=-22.871061778586775,=2.84110931255217,=0,2025-05-19,=3415,=0,=3262,=-0.03978707516274047,=3777,=482
="002038",双鹭药业,化学制剂,=6852424500,=-69.75765095380959,=1.2196362952772755,=0.0029985007496251873,2025-05-19,=3416,=0,=3303,=-0.03404381430033695,=3738,=5193
