Ticker,Company Name,Industry,Market Price,Market Cap,Market Currency,EBIT/Market Cap,ROIC,D/P,Total Debt/Common Equity,Combined_rank
0483.HK,BAUHAUS INT'L,Apparel Retail,0.165,60617704,HKD,0.20117885,0.074342984,0,0.334455031,3311
0864.HK,WING LEE PPT,Real Estate Services,0.17,65649920,HKD,0.245301137,0.016384653,0,0.113999932,3314
1888.HK,KB LAMINATES,Electronic Components,7.54,23524800512,HKD,0.064035782,0.077640458,0.042440318,0.297837068,3320
6890.HK,KANGLI INT HLDG,Steel,0.38,230375776,HKD,0.447013144,0.080227514,0,0.679047507,3324
8545.HK,AMUSE GROUP,Leisure,0.038,45307780,HKD,0.103205233,0.023418054,0,0.035147508,3328
1929.HK,CHOW TAI FOOK,Luxury Goods,9.38,93680967680,HKD,0.097049595,0.167315376,0.053304904,1.1623916,3329
0535.HK,GEMDALE PPT,Real Estate - Development,0.241,4003901440,HKD,0.532706919,0.062848494,0,0.551162117,3329
0241.HK,ALI HEALTH,Pharmaceutical Retailers,4.57,73539526656,HKD,0.009755339,0.04932567,0,0.00564967,3329
1195.HK,KINGWELL GROUP,Real Estate - Diversified,0.015,43411348,HKD,0.047982845,0.019985608,0,0.002485008,3329
2545.HK,ZHONGGAN COMM,Telecom Services,0.295,188799984,HKD,0.511737332,0.203111335,0,2.711952707,3334
2313.HK,SHENZHOU INTL,Textile Manufacturing,50.05,75236155392,HKD,0.056684755,0.094832582,0.047492507,0.373077923,3335
6181.HK,LAOPU GOLD,Luxury Goods,777,1.30821E+11,HKD,0.004514086,0.359389473,0.008172458,0.26036877,3336
0932.HK,SHUNTEN INTL,Packaged Foods,0.024,74589360,HKD,0.344660418,0.090568324,0,0.706698595,3338
6826.HK,HAOHAI BIOTEC,Biotechnology,24.1,11570651136,HKD,0.037886978,0.073016346,0,0.072202545,3339
0579.HK,JNCEC,Utilities - Regulated Electric,2.14,17643251712,HKD,0.310564463,0.065525142,0.06682243,1.505816284,3339
1179.HK,HWORLD-S,Lodging,28,87733518336,HKD,0.053776482,0.270387988,0.417107143,2.956736712,3344
8067.HK,OUC HOLDINGS,Real Estate Services,0.24,43200000,HKD,0.581134259,0.017606659,0,0.255610211,3347
2263.HK,FU SHEK FIN,Capital Markets,0.16,160000000,HKD,0.04611875,0.020754579,0,0.003209239,3347
3369.HK,QHD PORT,Marine Shipping,2.22,17744547840,HKD,0.094719533,0.068512286,0.038288288,0.332610686,3348
6889.HK,DYNAM JAPAN,Gambling,3.13,2179866624,HKD,1.495963085,0.014067616,1.597444089,1.508400198,3349
0807.HK,SIICENVIRONMENT,Utilities - Regulated Water,0.94,2421129728,HKD,0.776490817,0.057014251,0.062765957,2.105381827,3350
0818.HK,HI SUN TECH,Software - Infrastructure,0.32,882617600,HKD,0.086586762,0.010564969,0,0.011983421,3351
8275.HK,CHINA NEW CONS,Engineering & Construction,0.167,120237824,HKD,0.048312584,0.04667438,0,0.032679262,3352
0995.HK,ANHUIEXPRESSWAY,Infrastructure Operations,11.5,27085602816,HKD,0.082723885,0.105609911,0.052521739,0.612847315,3355
0636.HK,KERRY LOG NET,Integrated Freight & Logistics,6.18,11169916928,HKD,0.196193581,0.082953871,0.024271845,0.617476479,3355
1180.HK,PARADISE ENT,Resorts & Casinos,1.67,1757157248,HKD,0.036001331,0.167926246,0.095808383,1.042835825,3355
0658.HK,C TRANSMISSION,Specialty Industrial Machinery,0.84,1373643520,HKD,1.150027629,0.07991382,0,0.924199211,3356
1696.HK,SISRAM MED,Medical Devices,4.3,2013875072,HKD,0.020884612,0.092086826,0.00372093,0.098786012,3360
0450.HK,HUNG HING PRINT,Specialty Business Services,0.98,888964864,HKD,0.020776974,0.005822806,0.081632653,0.05418965,3364
3816.HK,KFM KINGDOM,Metal Fabrication,0.31,186000000,HKD,0.09188172,0.029462723,0.025806452,0.109391109,3366
0088.HK,TAI CHEUNG HOLD,Real Estate - Development,2.9,1790839936,HKD,-0.018427107,-0.005105119,0.082758621,0.006117158,3370
0390.HK,CHINA RAILWAY,Engineering & Construction,3.4,1.37766E+11,HKD,0.389585609,0.065549376,0.052352941,1.454437147,3372
0136.HK,CHINA RUYI,Entertainment,2.03,31505803264,HKD,0.045443374,0.079337456,0,0.108076951,3376
0400.HK,INGDAN,Electronics & Computer Distribution,1.29,2121095296,HKD,0.203789524,0.077310652,0,0.407912979,3379
8529.HK,UBOT HOLDING,Semiconductors,0.152,77900000,HKD,0.247933248,0.171874027,0,1.196018052,3380
1323.HK,HUASHENG INTL,Building Materials,0.156,117882176,HKD,0.417179269,0.038151405,0,0.352351163,3382
2096.HK,SIMCERE PHARMA,Drug Manufacturers - Specialty & Generic,7.66,18956201984,HKD,0.03832524,0.086040445,0.020887728,0.197878477,3383
6823.HK,HKT-SS,Telecom Services,10.74,81359364096,HKD,0.104130607,0.106448208,0.073370577,1.127396688,3383
0608.HK,HIGH FASHION,Apparel Manufacturing,1.39,424804864,HKD,0.40337815,0.035953273,0.025179856,0.528693759,3391
0573.HK,TAO HEUNG HLDGS,Restaurants,0.34,344879008,HKD,0.258473256,0.067596291,0,0.441034067,3392
1112.HK,H&H INTL HLDG,Packaged Foods,8.93,5764859904,HKD,0.272699602,0.104122443,0.036842105,1.610054132,3394
8341.HK,AESO HOLDING,Consulting Services,0.25,20000000,HKD,0.5494,0.108583513,0,1.27084515,3394
0386.HK,SINOPEC CORP,Oil & Gas Integrated,3.89,6.79027E+11,HKD,0.102140305,0.061992805,0.073521851,0.583091755,3397
3773.HK,YS DIGIFAVOR,Software - Infrastructure,1.66,688899968,HKD,0.037911164,0.08443851,0,0.11402353,3398
8257.HK,GENES TECH,Semiconductor Equipment & Materials,0.051,51000000,HKD,1.681333333,0.060716779,0,0.755696991,3409
2443.HK,AUTOSTREETS,Auto & Truck Dealerships,3.95,3289015040,HKD,0.033473547,0.237089758,0,0.349399787,3410
1769.HK,SCHOLAR EDU,Education & Training Services,5.05,2852588544,HKD,0.031933452,0.200281427,0.013069307,0.384950256,3419
3692.HK,HANSOH PHARMA,Drug Manufacturers - Specialty & Generic,22.1,1.31149E+11,HKD,0.021649632,0.094588185,0.014298643,0.166845236,3420
0081.HK,CH OVS G OCEANS,Real Estate - Development,1.82,6478053376,HKD,0.577631548,0.049980542,0.051648352,1.392824107,3421
1292.HK,CMA LOGISTICS,Integrated Freight & Logistics,2.63,426228352,HKD,0.155904826,0.024546669,0.076045627,0.452408593,3422
0700.HK,TENCENT,Internet Content & Information,458,4.17068E+12,HKD,0.050060465,0.159115903,0.009233624,0.367842161,3422
0856.HK,VSTECS,Software - Infrastructure,5.35,7654833152,HKD,0.186301905,0.087347732,0.048037383,1.02669748,3424
0780.HK,TONGCHENGTRAVEL,Travel Services,22.25,51814912000,HKD,0.035685847,0.091294658,0.007595506,0.170156819,3428
0563.HK,SH IND URBAN,Real Estate - Development,0.295,1410220800,HKD,1.939623214,0.085442292,0,1.288573117,3430
0683.HK,KERRY PPT,Real Estate - Development,17.28,25078636544,HKD,0.167196968,0.025821371,0.078125,0.51479595,3431
6822.HK,KING'S FLAIR,"Furnishings, Fixtures & Appliances",0.37,259000000,HKD,0.050610039,0.01982762,0.108108108,0.224261693,3433
1933.HK,ONEFORCE HLDGS,Information Technology Services,0.13,64403948,HKD,0.371514492,0.05704198,0,0.516261982,3434
1148.HK,POWER XINCHEN,Auto Manufacturers,0.168,215411280,HKD,0.301502317,0.028032543,0.053571429,0.663546266,3439
1376.HK,RAFFLESINTERIOR,Consulting Services,0.062,62000000,HKD,0.024387097,0.108433735,0,0.161556508,3441
1975.HK,SUN HING PRINT,Specialty Business Services,0.36,172800000,HKD,0.052737269,0.018995587,0.097222222,0.221543618,3445
1133.HK,HARBIN ELECTRIC,Specialty Industrial Machinery,4.72,10555241472,HKD,0.130625307,0.058688021,0.048940678,0.518289252,3448
8447.HK,MS CONCEPT,Restaurants,0.034,34000000,HKD,0.242941176,0.165190089,0,1.310897024,3448
2607.HK,SH PHARMA,Medical Distribution,10.82,64330199040,HKD,0.150627737,0.082068484,0.034195933,0.678527722,3453
1765.HK,XJ INTL HLDGS,Education & Training Services,0.152,1250195456,HKD,0.597850517,0.051582666,0,0.607470792,3454
0302.HK,CMGE,Electronic Gaming & Multimedia,0.345,1033416448,HKD,0.134826575,0.022506645,0,0.091631677,3455
0288.HK,WH GROUP,Packaged Foods,6.76,86732152832,HKD,0.027936583,0.173430678,0.009467456,0.349310571,3464
1315.HK,GREEN ECONOMY,Building Materials,0.109,67784480,HKD,0.584307794,0.12548991,0,1.941133016,3465
0002.HK,CLP HOLDINGS,Utilities - Regulated Electric,64.75,1.63588E+11,HKD,0.091101016,0.088074511,0.048648649,0.627571957,3465
0505.HK,XINGYE ALLOY,Copper,0.99,866073792,HKD,0.276610379,0.075755611,0,0.612604318,3465
1655.HK,OKURA HOLDINGS,Gambling,0.11,66000000,HKD,13.09090909,0.067732832,0,1.040030892,3466
0075.HK,Y.T. REALTY,Real Estate - Development,0.159,127129560,HKD,2.485999322,0.103997968,0,1.965856474,3466
2371.HK,CHUANGLIAN HOLD,Education & Training Services,0.026,175557456,HKD,0.127627732,0.057478548,0,0.232810436,3467
0914.HK,CONCH CEMENT,Building Materials,22.05,1.34222E+11,HKD,0.064826507,0.040418617,0.032199546,0.157222145,3468
8481.HK,SHENGLONG INTL,Paper & Paper Products,0.3,135000000,HKD,0.508696296,0.104109722,0,1.366548196,3469
2149.HK,BATELAB,Semiconductor Equipment & Materials,50.1,3005999872,HKD,0.037086828,0.11039779,0,0.217881987,3470
3728.HK,CHING LEE,Engineering & Construction,0.027,27351000,HKD,0.919162005,0.086342795,0,1.308303414,3472
0798.HK,CEOVU,Conglomerates,0.195,1435069312,HKD,0.779296854,0.074192198,0,1.004030451,3474
6993.HK,BLUE MOON GROUP,Household & Personal Products,3.57,20931266560,HKD,0.010220786,0.020612112,0.028011204,0.015309311,3475
3309.HK,C-MER MEDICAL,Medical Care Facilities,1.48,1827814912,HKD,0.065445904,0.064005423,0.013513514,0.196655784,3475
0772.HK,CHINA LIT,Internet Content & Information,25.1,25689600000,HKD,0.023538319,0.031767363,0,0.012515306,3475
0216.HK,CHINNEY INV,Real Estate - Development,0.6,330820800,HKD,1.417320193,0.030979315,0.041666667,1.013816606,3476
0897.HK,WAI YUEN TONG,Drug Manufacturers - Specialty & Generic,0.32,360032000,HKD,0.110756822,0.021579148,0.09375,0.403814568,3476
0836.HK,CHINA RES POWER,Utilities - Independent Power Producers,18.44,95464988672,HKD,0.215402665,0.079038442,0.062147505,1.744700671,3477
1691.HK,JS GLOBAL LIFE,"Furnishings, Fixtures & Appliances",1.66,5767785984,HKD,0.004196064,0.045198099,0,0.010661761,3478
0258.HK,TOMSON GROUP,Real Estate - Diversified,2.79,6044255744,HKD,0.021103839,0.0103015,0.046594982,0.03275676,3481
2886.HK,BINHAI INV,Utilities - Regulated Gas,1.09,1497714560,HKD,0.234845817,0.065048066,0.069724771,1.608411836,3481
0603.HK,CHINA OIL & GAS,Oil & Gas Refining & Marketing,0.151,851156736,HKD,1.430119681,0.10507252,0,2.044465007,3482
1428.HK,BRIGHT SMART,Capital Markets,2.7,4582709760,HKD,0.126513358,0.094373259,0.122222222,2.578315789,3483
2459.HK,SANERGY GROUP,Steel,0.176,200640000,HKD,0.070703748,0.086952791,0,0.240518519,3484
0688.HK,CHINA OVERSEAS,Real Estate - Development,14.38,1.57388E+11,HKD,0.217786464,0.054348952,0.03922114,0.693582935,3488
1986.HK,TSAKER NE,Specialty Chemicals,0.66,640805888,HKD,0.063349917,0.020571971,0.045454545,0.118185965,3488
0255.HK,LUNG KEE,Metal Fabrication,1.31,827496832,HKD,-0.031415226,-0.015533512,0.083969466,0.004679294,3492
1052.HK,YUEXIUTRANSPORT,Infrastructure Operations,3.42,5722207232,HKD,0.270603622,0.052826186,0.067251462,1.475903813,3493
0599.HK,E. BON HOLDINGS,Home Improvement Retail,0.158,113576560,HKD,0.165174927,0.03385701,0,0.196624372,3494
0425.HK,MINTH GROUP,Auto Parts,16.54,19036051456,HKD,0.121503506,0.082585135,0.024727932,0.533586407,3495
0035.HK,FE CONSORT INTL,Real Estate - Development,0.75,2294279936,HKD,0.453369261,0.024563842,0.146666667,1.928811877,3497
0570.HK,TRAD CHI MED,Drug Manufacturers - Specialty & Generic,1.94,9769452544,HKD,0.139132873,0.051836702,0.001546392,0.24386111,3500
6882.HK,EGL HOLDINGS,Travel Services,0.52,261273984,HKD,0.414109351,0.199198023,0,11.47939166,3502
9989.HK,HEPALINK,Drug Manufacturers - Specialty & Generic,4.29,14892692480,HKD,0.049857153,0.049274919,0.058275058,0.291785027,3504
8328.HK,XY ELEC STORAGE,Electrical Equipment & Parts,0.6,471320416,HKD,0.233066501,0.063778558,0,0.461588357,3508
8281.HK,CH GOLD CLASSIC,Household & Personal Products,0.064,64000004,HKD,0.066265621,0.015784459,0,0.024355094,3508
0828.HK,DYNASTY WINES,Beverages - Wineries & Distilleries,0.27,380270720,HKD,0.014068924,0.018764029,0.014814815,0.008073793,3509
1147.HK,EDENSOFT,Information Technology Services,0.097,198360160,HKD,0.080414333,0.066501847,0.020618557,0.288661246,3512
0430.HK,ORIENTAL EXPL,Real Estate Services,0.39,151391760,HKD,0.085447187,0.008006382,0.035897436,0.097845297,3512
3768.HK,DCWT,Utilities - Regulated Water,0.55,566010496,HKD,1.233395856,0.068177823,0,1.061330066,3512
