Ticker,Company Name,Industry,Market Price,Market Currency,Report Currency,Market Cap,Financial Year End Date,Past Financial Year Dividends,Latest Invested Capital,Latest Total Debt,Latest Total Asset,Latest Common Equity,Past Annual Sales,Past Annual Cogs,Past Annual Opex,Past Annual Net Income,Past Annual Operating Cash Flow,Past Annual Financing Cash Flow,Past Annual Investing Cash Flow
603881.SS,SHANGHAI ATHUB CO LTD,Information Technology Services,30.02,CNY,CNY,17971382272.0,12-31,0.0,5918029225.42,3391898822.63,7376356991.71,3224495130.81,1720509202.12,1187172115.21,159707224.14000005,132190214.53,1259498805.92,-118050715.29,-981228487.68
603882.SS,GUANGZHOU KINGMED DIAGNOSTICS G,Diagnostics & Research,29.5,CNY,CNY,13666110464.0,12-31,0.88,8631447061.69,579212155.9,11767672448.57,8362834963.48,8539627901.45,5424536307.38,2133533100.2800002,643382149.84,1230820619.68,-1062015565.2,-634534432.06
603883.SS,LBX PHARMACY CHAIN JOINT STOCK ,Pharmaceutical Retailers,19.05,CNY,CNY,14479827968.0,12-31,0.838,8879349416.0,5032984627.0,21230999976.0,6701235576.0,22437489012.0,15134226781.0,5764899019.0,929023131.0,2729838947.0,-2427828951.0,-761264347.0
603885.SS,JUNEYAO AIRLINES CO LTD,Airlines,12.75,CNY,CNY,28214603776.0,12-31,0.0,22700011599.53,33028612150.74,47806111825.78,8899789166.93,22094960780.4,18978112657.41,543618701.79,914284351.93,7716849247.97,-6775635420.48,-955591730.74
603886.SS,GANSO CO LTD,Grocery Stores,14.64,CNY,CNY,3586302208.0,12-31,1.0,1656096193.95,337749513.78,3057175174.76,1656096193.95,2313707967.98,848377180.5,1117492136.51,248756235.39,374433858.61,-394137750.2,237915883.19
603887.SS,SHANGHAI CDXJ DIGITAL TECHNOLOG,Engineering & Construction,18.06,CNY,CNY,10997528576.0,12-31,0.0,4996625992.7,2638656071.91,7381430348.04,2795579211.21,2370425470.73,1889068975.1,342102654.03,-620970758.38,660140663.57,-315747914.28,-233186651.26
603888.SS,XINHUANET CO LTD,Internet Content & Information,21.96,CNY,CNY,11397875712.0,12-31,0.211,3437655428.54,54348475.67,5189708942.19,3437655428.54,2081870676.52,1367061452.5,459286176.89,273501736.01,458557282.27,-322456537.15,1441850776.75
603889.SS,ZHEJIANG XINAO TEXTILES INC,Textile Manufacturing,5.89,CNY,CNY,4302592000.0,12-31,0.3,4547520320.65,1346033941.62,5689469572.47,3403635216.49,4840783775.93,3921872021.82,363056130.15999997,428297429.24,369815727.2,-147867556.86,-676812078.13
603890.SS,SUZHOU CHUNQIU ELECTRONIC TECHN,Metal Fabrication,11.05,CNY,CNY,4851679232.0,12-31,0.0,4274814383.56,1396726472.1,5853365917.44,2899449392.61,3945040020.01,3366788110.6,349956886.55999994,211313346.07,428264877.35,-107378066.19,-193098267.1
603893.SS,FUZHOU ROCKCHIP ELECTRONICS CO ,Semiconductors,157.18,CNY,CNY,65843326976.0,12-31,0.0,3545884291.91,43528430.67,4265988219.99,3545884291.91,3136370678.42,1957483705.81,649033583.5699999,594862210.27,1379383589.99,-52345726.8,-343082102.42
