Ticker,Company Name,Industry,Market Price,Market Currency,Report Currency,Market Cap,Financial Year End Date,Past Financial Year Dividends,Latest Invested Capital,Latest Total Debt,Latest Total Asset,Latest Common Equity,Past Annual Sales,Past Annual Cogs,Past Annual Opex,Past Annual Net Income,Past Annual Operating Cash Flow,Past Annual Financing Cash Flow,Past Annual Investing Cash Flow,Past Annual R&D
8270.HK,CHINA CBM,Oil & Gas Refining & Marketing,0.295,HKD,CNY,115183040.0,12-31,0.0,315481000.0,19500000.0,464169000.0,295981000.0,,,,,26965000.0,-14107000.0,67814000.0,
8271.HK,GDC,Entertainment,0.06,HKD,HKD,90198592.0,12-31,0.0,432883000.0,17000.0,545081000.0,432883000.0,70189000.0,65092000.0,39878000.0,-17520000.0,-16180000.0,-542000.0,-1417000.0,
8275.HK,CHINA NEW CONS,Engineering & Construction,0.167,HKD,HKD,120237824.0,03-31,0.0,124458000.0,4032000.0,168703000.0,123381000.0,139969000.0,105043000.0,29117000.0,8351000.0,-2346000.0,44709000.0,-6376000.0,
8277.HK,STEEDORIENTAL,Lumber & Wood Production,0.1,HKD,HKD,26247300.0,03-31,0.0,129543000.0,161716000.0,202257000.0,-31957000.0,63120000.0,48375000.0,19466000.0,-38615000.0,-11759000.0,10368000.0,2156000.0,
8279.HK,AGTECH HOLDINGS,Gambling,0.194,HKD,HKD,2264426240.0,03-31,0.0,2631936000.0,70101000.0,6422104000.0,2631936000.0,351414000.0,62718000.0,388431000.0,-126700000.0,2747588000.0,-49532000.0,234005000.0,
8280.HK,CDV HOLDINGS,Entertainment,0.064,HKD,CNY,39573252.0,03-31,0.0,180835000.0,197173000.0,522498000.0,-12410000.0,145948000.0,122931000.0,92048000.0,-147396000.0,-109339000.0,114456000.0,-39213000.0,
8281.HK,CH GOLD CLASSIC,Household & Personal Products,0.064,HKD,CNY,64000004.0,12-31,0.0,268682000.0,6422000.0,348563000.0,263682000.0,292009000.0,182453000.0,105315000.0,7061000.0,29823000.0,-16105000.0,-8733000.0,
8282.HK,GAMEONE,Electronic Gaming & Multimedia,0.42,HKD,HKD,15960000.0,12-31,0.0,23662000.0,511000.0,27448000.0,23662000.0,37298000.0,27217000.0,12118000.0,-1607000.0,-7802000.0,13271000.0,-4356000.0,
8283.HK,ZHONGSHI MINAN,Auto & Truck Dealerships,0.48,HKD,SGD,23040000.0,12-31,0.0,7186000.0,2177000.0,21136000.0,7186000.0,23871000.0,11717000.0,9183000.0,-142000.0,456000.0,-882000.0,308000.0,
8285.HK,SLING GROUP,Footwear & Accessories,0.023,HKD,CNY,12880000.0,12-31,0.0,23697000.0,28245000.0,49074000.0,-2706000.0,128109000.0,60622000.0,72574000.0,-8249000.0,-2407000.0,547000.0,-287000.0,
8286.HK,CCOE,Communication Equipment,0.11,HKD,CNY,33974600.0,12-31,0.0,-37402000.0,70788000.0,171670000.0,-108190000.0,26717000.0,14333000.0,20936000.0,-10375000.0,-1248000.0,-4212000.0,5332000.0,
8290.HK,AHSAY BACKUP,Software - Application,0.018,HKD,HKD,36000000.0,12-31,0.0,54935000.0,6896000.0,76145000.0,54935000.0,39955000.0,23318000.0,20517000.0,-2187000.0,-6035000.0,-2520000.0,1645000.0,
8291.HK,HK ENT INTL,Packaging & Containers,0.111,HKD,CNY,17760000.0,12-31,0.0,33415000.0,120750000.0,113651000.0,-87335000.0,48545000.0,47093000.0,15255000.0,-27038000.0,-6788000.0,2443000.0,-1903000.0,
8292.HK,WORLDGATEGLOBAL,Integrated Freight & Logistics,0.305,HKD,MYR,231897600.0,12-31,0.0,41024000.0,7204000.0,58475000.0,36256000.0,116351000.0,108738000.0,21438000.0,-20402000.0,-6471000.0,-1886000.0,-757000.0,
8293.HK,SINGASIA HLDG,Staffing & Employment Services,0.047,HKD,SGD,10106880.0,07-31,0.0,4961901.0,2853714.0,7269550.0,2875039.0,12315054.0,9299203.0,4388127.0,-3270268.0,129254.0,2828843.0,-362655.0,
8295.HK,KINGWISOFT TECH,Capital Markets,0.05,HKD,CNY,238801008.0,03-31,0.0,1014645000.0,265512000.0,1278285000.0,816601000.0,1240904000.0,1113027000.0,93475000.0,-197382000.0,60267000.0,-124305000.0,-18916000.0,
8296.HK,SINO-LIFE GROUP,Personal Services,0.48,HKD,CNY,45360000.0,12-31,0.0,141790000.0,37430000.0,271707000.0,123718000.0,72570000.0,39089000.0,42463000.0,-7173000.0,-2595000.0,-7663000.0,17363000.0,
8297.HK,OCEAN STAR TECH,Apparel Manufacturing,0.049,HKD,HKD,63388852.0,03-31,0.0,-9075000.0,5729000.0,59380000.0,-9075000.0,41173000.0,11042000.0,50020000.0,-27161000.0,-14410000.0,-5650000.0,-90000.0,
8299.HK,GT GOLD,Gold,0.153,HKD,HKD,1136514560.0,03-31,0.0,817298000.0,390733000.0,1428272000.0,427076000.0,722725000.0,638896000.0,24304000.0,55296000.0,266410000.0,-44730000.0,-186842000.0,
8300.HK,JIN MI FANG GP,Restaurants,0.061,HKD,HKD,161244960.0,03-31,0.0,-2233000.0,15559000.0,18858000.0,-9337000.0,51729000.0,21027000.0,47426000.0,-30374000.0,-8097000.0,-7691000.0,-1794000.0,
8305.HK,ST HLDGS,Engineering & Construction,0.285,HKD,HKD,359100000.0,12-31,0.0,49393000.0,9365000.0,132736000.0,41471000.0,143405000.0,135545000.0,32808000.0,-30321000.0,7454000.0,-17510000.0,-451000.0,
8307.HK,MEDICSKIN,Medical Care Facilities,0.169,HKD,HKD,67048384.0,03-31,0.0,10950000.0,5757000.0,40060000.0,10950000.0,49135000.0,9746000.0,34014000.0,-3048000.0,10516000.0,-7210000.0,-1397000.0,
8308.HK,GUDOU HLDGS,Resorts & Casinos,0.125,HKD,CNY,155724992.0,12-31,0.0,411433000.0,233723000.0,921064000.0,184788000.0,52684000.0,57927000.0,32807000.0,-98529000.0,8679000.0,-8692000.0,-143000.0,
8309.HK,MANSHING GLOBAL,Waste Management,0.053,HKD,HKD,31800000.0,03-31,0.0,156365000.0,38375000.0,345515000.0,139125000.0,1024714000.0,937015000.0,65282000.0,16101000.0,57540000.0,-30215000.0,-25114000.0,
8310.HK,YANCHENG PORT,Integrated Freight & Logistics,0.49,HKD,HKD,631120000.0,12-31,0.0,216659000.0,682886000.0,570695000.0,-465583000.0,1158042000.0,1148906000.0,30694000.0,54715000.0,-11470000.0,50259000.0,105878000.0,
8311.HK,PERFECT OPT,Electronic Components,0.028,HKD,HKD,41543320.0,12-31,0.0,96814000.0,7926000.0,116131000.0,92295000.0,124255000.0,108961000.0,46718000.0,-19104000.0,-33692000.0,-4925000.0,136000.0,
8313.HK,ZACD,Asset Management,0.018,HKD,SGD,36000000.0,12-31,0.0,21017000.0,862000.0,33078000.0,20427000.0,4964000.0,3490000.0,599000.0,-1204000.0,-1710000.0,2606000.0,-10192000.0,
8315.HK,CEN PLAZA HOTEL,Security & Protection Services,0.035,HKD,HKD,20350470.0,03-31,0.0,9841000.0,28317000.0,42378000.0,-6065000.0,54600000.0,57464000.0,19926000.0,-16938000.0,-16127000.0,-12294000.0,-910000.0,
8316.HK,CHINA HONGBAO,Engineering & Construction,0.199,HKD,HKD,189721824.0,03-31,0.0,-329000.0,35543000.0,23374000.0,-31150000.0,97557000.0,76559000.0,32227000.0,-7478000.0,-21448000.0,1656000.0,-299000.0,
8317.HK,FINET GROUP,Specialty Business Services,0.07,HKD,HKD,69986560.0,03-31,0.0,52918000.0,8459000.0,66114000.0,49318000.0,13433000.0,,,-8497000.0,1382000.0,-801000.0,101000.0,
8319.HK,EXPERT SYS,Information Technology Services,0.099,HKD,HKD,79524720.0,03-31,0.008,233682000.0,72791000.0,506249000.0,169681000.0,990956000.0,838284000.0,129568000.0,15370000.0,36689000.0,-16784000.0,3890000.0,
8320.HK,AEC GROUP,Waste Management,0.102,HKD,HKD,74785384.0,03-31,0.0,86932000.0,21253000.0,98120000.0,70405000.0,52017000.0,28234000.0,22097000.0,561000.0,-306000.0,2786000.0,-949000.0,
8321.HK,TAI KAM HLDGS,Engineering & Construction,0.21,HKD,HKD,51744000.0,04-30,0.0,64787000.0,,83907000.0,64787000.0,38132000.0,37408000.0,3937000.0,-11409000.0,8941000.0,0.0,0.0,
8326.HK,TK NEW ENERGY,Utilities - Renewable,0.158,HKD,HKD,193866016.0,03-31,0.0,398349000.0,146462000.0,649253000.0,253900000.0,766108000.0,669599000.0,52698000.0,32822000.0,-60285000.0,45133000.0,6865000.0,
8328.HK,XY ELEC STORAGE,Electrical Equipment & Parts,0.6,HKD,HKD,471320416.0,12-31,0.0,1722350000.0,549376000.0,2333343000.0,1190186000.0,1391960000.0,1196668000.0,85443000.0,83142000.0,-5216000.0,186403000.0,-135153000.0,
8329.HK,NEP INTERLONG,Drug Manufacturers - Specialty & Generic,0.295,HKD,CNY,495009984.0,12-31,0.005,996013000.0,89686000.0,1415646000.0,908169000.0,1064861000.0,617350000.0,431721000.0,24127000.0,53686000.0,-32475000.0,60897000.0,
8331.HK,P.B. GROUP,Other Industrial Metals & Mining,0.127,HKD,CNY,20207478.0,03-31,0.0,119472000.0,0.0,151854000.0,119472000.0,64716000.0,42973000.0,31626000.0,-7081000.0,3162000.0,-796000.0,-7946000.0,
8333.HK,ASTRUM FIN,Capital Markets,0.25,HKD,HKD,24000000.0,12-31,0.0,129299000.0,7035000.0,164423000.0,122264000.0,12755000.0,,,-17558000.0,128000.0,-845000.0,3726000.0,
8337.HK,DIRECTEL,Telecom Services,0.124,HKD,HKD,30364500.0,12-31,0.0,31374000.0,811000.0,39137000.0,31374000.0,150555000.0,146317000.0,14729000.0,-9935000.0,-2446000.0,-958000.0,2124000.0,
8340.HK,ZIJING INTL FIN,Capital Markets,0.255,HKD,HKD,14165250.0,12-31,0.0,40579000.0,17023000.0,42761000.0,24579000.0,16733000.0,9988000.0,9377000.0,-3928000.0,-6711000.0,18017000.0,-13356000.0,
8341.HK,AESO HOLDING,Consulting Services,0.25,HKD,HKD,20000000.0,03-31,0.0,101194000.0,58253000.0,172952000.0,45838000.0,239688000.0,202189000.0,26511000.0,8110000.0,-278000.0,15306000.0,-11610000.0,
8347.HK,F8 ENT,Oil & Gas Refining & Marketing,0.1,HKD,HKD,13752000.0,03-31,0.0,128887000.0,37190000.0,163823000.0,91697000.0,289980000.0,275705000.0,21918000.0,-8648000.0,-7608000.0,-10546000.0,49000.0,
8348.HK,BINHAI TEDA,Integrated Freight & Logistics,0.475,HKD,CNY,168050256.0,12-31,0.03,1145217000.0,312061000.0,1792941000.0,885098000.0,3710357000.0,3681769000.0,43816000.0,5898000.0,55831000.0,-160435000.0,78268000.0,
8349.HK,GUIXIN GROUP,Building Products & Equipment,2.36,HKD,CNY,943999936.0,12-31,0.0,61951000.0,7446000.0,93807000.0,61951000.0,47546000.0,38044000.0,11972000.0,-8910000.0,-3160000.0,-3338000.0,106000.0,
8350.HK,WELL LINK SEC,Capital Markets,0.13,HKD,HKD,124799992.0,12-31,0.0,47653000.0,42014000.0,71674000.0,7653000.0,24143000.0,3991000.0,10167000.0,8909000.0,18324000.0,-11850000.0,76000.0,
8353.HK,ANACLE,Software - Application,1.05,HKD,SGD,427324768.0,05-31,0.0,17959738.0,2628870.0,25729690.0,17959738.0,26700265.0,13256275.0,12870065.0,593125.0,825263.0,-1131463.0,180080.0,
8356.HK,TSUN YIP HLDGS,Engineering & Construction,0.52,HKD,HKD,29754502.0,03-31,0.0,-103961000.0,302958000.0,218960000.0,-405113000.0,468963000.0,450900000.0,17216000.0,-9324000.0,4589000.0,-5723000.0,-2771000.0,
8357.HK,REPUBLIC HC,Medical Care Facilities,0.104,HKD,SGD,64896000.0,12-31,0.0,12550775.0,758716.0,14478888.0,12550775.0,8656597.0,2752851.0,6758490.0,-178158.0,125073.0,-531651.0,-93943.0,
8360.HK,BASIC H NEWLIFE,Engineering & Construction,0.54,HKD,HKD,194547952.0,12-31,0.0,32052000.0,32625000.0,52790000.0,6000.0,63812000.0,48550000.0,34089000.0,-15857000.0,846000.0,25212000.0,-12087000.0,
8362.HK,WINNING TOWER,Packaged Foods,0.061,HKD,HKD,85400000.0,12-31,0.0,96147000.0,9567000.0,112047000.0,90798000.0,108520000.0,61792000.0,48363000.0,296000.0,10085000.0,-6419000.0,-451000.0,
8363.HK,SDM EDUCATION,Education & Training Services,0.088,HKD,HKD,68574616.0,12-31,0.0,79324000.0,459061000.0,364199000.0,-245022000.0,,,,,42618000.0,-37176000.0,-2006000.0,
8365.HK,HATCHER GROUP,Capital Markets,0.305,HKD,HKD,18169460.0,09-30,0.0,148502000.0,24819000.0,167868000.0,132180000.0,85493000.0,,,-77085000.0,20675000.0,-3935000.0,-567000.0,
